Link,Question,Username,Comment
,,ireallylovetaiwanesemeesua,sleep more row less😍
,,jarchi3e,sleep earlier and eat healthy
,,dorrothyyy,Sleep earlier
,,lim_jengyeu,STUDY MORE
,,jin_and__tonic,Sleep more!
,,babaaaablacksheep,sleep more
,,musteacup,sleep moree
,,izy_bellyy,Do more things that brings joy to me!
,,ch3_._._3,procrastinate less!
,,aviyn.h,sleep before 12am
,,biyonn_,gym 2-3 times a weeks
,,haiitsrox,Sleep earlier
,,natasia_cathleen,Eat healthy
,,graceewn,procrastinate lessssss and sleep more
,,dustvin_,dance moree 🔥🔥
,,crystalongcrissy,eat more regularly
,,gav_productions,Exercise more 😶‍🌫️
,,kit.m1ng,sleep more 😴
,,steuphanny,WORKOUT MORE
,,ryantannytan,More sleep
,,e.zennn,More exercise!
,,wlwarma,Sleep
,,_junjiee__,Eat healthier
,,ilovchem,sleep earlier!
,,c.hloeet,Eat nutritious meals
,,jeessabellz,eat healthier!
,,yfc_,Eat more
,,cnvltdfx,do more fun things
,,ihamshae,eat healthier food
,,pehh.sy,stop procrastinating
,,simran_2003,Enjoy
,,yeungblud,be happy
,,yourockkkkkkkkkkkkkkkkkk,sleep more
,,sheeeeeeeeeshjie,exercise!
,,macslargefries,sleep more
,,daisywerks,have plenty of rest!!
,,deeksha.sarav,sleep more :)
,,pinknalgene,giving myself breaks
,,163cms,less stressing 🙏
,,isabel_ong,wake up earlier
,,swicymayo,Self affirmation
,,kfc_and_potatoes,go on more walks!!!
,,riyaanation,Sleep earlier🙏🙏
,,natelie.lyq,be more consistent
,,vvinaal,procrastinate
,,stefuufu,Hang out with friends! ❤️
,,gaeun__grace,Wake up earlier
,,seanlimjf,work harder
,,chowder_is_food,Study harder
,,_mentai.ko,listen in class
,,soo._.sann,eat healthier
,,graceful_tori,Do more exercise
,,tarosoyamilk,exercise and eat healthier
,,jotham_johnny,Sleep more
,,ook0_12,sleep early
,,yangdessy,Eat healthier
,,houvid19,laugh more!!!
,,calvinnigaes,eat healthier
,,wnxn03,Drink enough water
,,bhardi_b,study hard
,,littlegreenfrog88,eat less
,,joei.seah_,stop procrastinating
,,groundedbear,stop procrastinatin!
,,sexype0ple0nly,run more!
,,starsaresmiling,Less doomscrolling
,,felicia_tan_ying_en,Sleep more
,,rl_quack,Sleep and take breaks more
,,jess.w.ie,Sleep more
,,meggieeemee,run more!!
,,bryanchua16,sleep more 😴
,,audrygrc,exercise
,,wlxemily,engage in mindfulness practices
,,berwyn.liw,spend more time with friends
,,ffluffypancakes,yay
,,zheng_rui.c,Live laugh love
,,s1e0nn,Drink more water
,,ela.is.a.beth,Sleep more
,,ystgnanot,sleep!!
,,cchloweeeee,sleep
,,belle_lolol,Get more sleep
,,flame_remixer_72,sleep moee
,,shoyuemiii,rest more!!
,,evanaaeljevicoo,take care of myself more!
,,mieleficient,sleep regular and consistent hours
,,kyuunngrim,listen to music
,,bogyeong516,Have enough sleep
,,elizabirdsnap,Be more disciplined 🥲
,,ayeitsshermaine,"play more, study less"
,,criesinchagee,sleeeeeeep
,,by.denise,sleep a bit more like 1h more 😢
,,cherlne,hang out with friends
,,rrongxuann,Slping moree!!
,,zengbaox,Will power
,,buttonshrooming,Eat healthierrr
,,amruthaa_25,Sleep more
,,biancia_di_angelo02,exercise more
,,_ellohe,stop procrastinating do what you have to do
,,_akshayaaaa_,stop doom scrolling on instagram
,,koeljhoo,stay happy
,,literalcabbage,SLEEP MORE!!!
,,sh.eryl1653,YAYYY more
,,desirtree,sleeeeeeeppppp
,,kaielara,Sleep more
,,jerv.eh,wake up early
,,wilsonterng,❤️
,,plsleavemyworld,yay
,,qiaoooennn,eat more!
,,priyalliaa,Forgiving yourself
,,xinchunvvu,better sleep schedule
,,junxrong,Sleep earlier
,,lapageriarosea,Compare less to others
,,meguuuumiiiiiii_,sleep more
,,jakeisaclown,sleep more
,,binggbbingg,sleep more!
,,yrcork,sleep more
,,bobsquashyshiba,Daily affirmations
,,_n.zhing_,Eat healthier
,,grumpygal04,Be kind ❤️
,,teethmittens,be kind
,,andreajoanna_,More sleep!!
